# Region type : patch outlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
430.5           	9.51237882e-01
431             	9.51481044e-01
431.5           	9.51723405e-01
432             	9.51964970e-01
432.5           	9.52205745e-01
433             	9.52445734e-01
433.5           	9.52684941e-01
434             	9.52923372e-01
434.5           	9.53161031e-01
435             	9.53397924e-01
435.5           	9.53634054e-01
436             	9.53869426e-01
436.5           	9.54104045e-01
437             	9.54337916e-01
437.5           	9.54571043e-01
438             	9.54803430e-01
438.5           	9.55035083e-01
439             	9.55266006e-01
439.5           	9.55496203e-01
440             	9.55725679e-01
440.5           	9.55954438e-01
441             	9.56182484e-01
441.5           	9.56409823e-01
442             	9.56636457e-01
442.5           	9.56862393e-01
443             	9.57087633e-01
443.5           	9.57312183e-01
444             	9.57536046e-01
444.5           	9.57759228e-01
445             	9.57981730e-01
445.5           	9.58203560e-01
446             	9.58424719e-01
446.5           	9.58645213e-01
447             	9.58865045e-01
447.5           	9.59084220e-01
448             	9.59302741e-01
448.5           	9.59520613e-01
449             	9.59737839e-01
449.5           	9.59954424e-01
450             	9.60170372e-01
450.5           	9.60385685e-01
451             	9.60600369e-01
451.5           	9.60814427e-01
452             	9.61027863e-01
452.5           	9.61240681e-01
453             	9.61452883e-01
453.5           	9.61664475e-01
454             	9.61875460e-01
454.5           	9.62085841e-01
455             	9.62295622e-01
455.5           	9.62504807e-01
456             	9.62713399e-01
456.5           	9.62921402e-01
457             	9.63128820e-01
457.5           	9.63335655e-01
458             	9.63541911e-01
458.5           	9.63747593e-01
459             	9.63952702e-01
459.5           	9.64157244e-01
460             	9.64361220e-01
460.5           	9.64564634e-01
461             	9.64767490e-01
461.5           	9.64969791e-01
462             	9.65171540e-01
462.5           	9.65372740e-01
463             	9.65573394e-01
463.5           	9.65773507e-01
464             	9.65973080e-01
464.5           	9.66172117e-01
465             	9.66370621e-01
465.5           	9.66568595e-01
466             	9.66766042e-01
466.5           	9.66962966e-01
467             	9.67159368e-01
467.5           	9.67355252e-01
468             	9.67550622e-01
468.5           	9.67745479e-01
469             	9.67939827e-01
469.5           	9.68133668e-01
470             	9.68327006e-01
470.5           	9.68519843e-01
471             	9.68712182e-01
471.5           	9.68904025e-01
472             	9.69095376e-01
472.5           	9.69286237e-01
473             	9.69476611e-01
473.5           	9.69666500e-01
474             	9.69855908e-01
474.5           	9.70044835e-01
475             	9.70233286e-01
475.5           	9.70421263e-01
476             	9.70608768e-01
476.5           	9.70795804e-01
477             	9.70982373e-01
477.5           	9.71168477e-01
478             	9.71354120e-01
478.5           	9.71539303e-01
479             	9.71724029e-01
479.5           	9.71908300e-01
480             	9.72092119e-01
480.5           	9.72275488e-01
481             	9.72458408e-01
481.5           	9.72640883e-01
482             	9.72822915e-01
482.5           	9.73004506e-01
483             	9.73185657e-01
483.5           	9.73366372e-01
484             	9.73546653e-01
484.5           	9.73726501e-01
485             	9.73905918e-01
485.5           	9.74084907e-01
486             	9.74263470e-01
486.5           	9.74441609e-01
487             	9.74619325e-01
487.5           	9.74796622e-01
488             	9.74973500e-01
488.5           	9.75149962e-01
489             	9.75326010e-01
489.5           	9.75501646e-01
490             	9.75676871e-01
490.5           	9.75851688e-01
491             	9.76026098e-01
491.5           	9.76200103e-01
492             	9.76373705e-01
492.5           	9.76546906e-01
493             	9.76719707e-01
493.5           	9.76892111e-01
494             	9.77064119e-01
